股票代码,股票名称,组织形式,公司全称,英文名称,所属行业,注册资本,董事长,地域,办公地址,公司网址,董事会秘书,董秘电话,董秘邮箱,成立日期,上市日期,募资资金总额,发行价格,发行市盈率
600015,华夏银行,国有相对控股企业,华夏银行股份有限公司,"Hua Xia Bank Co.,limited",金融业,"890,464万元",吴建,北京,北京市东城区建国门内大街22号华夏银行大厦,www.hxb.com.cn,赵军学,010-85238570,zhdb@hxb.com.cn,1998/3/18,2003/9/12,"560,000万元
            ","5.60元
            ","19.86%
            "
600016,民生银行,民营相对控股企业,中国民生银行股份有限公司,"China Minsheng Banking Corp.,Ltd.",金融业,"3,415,310万元",洪崎,北京,"北京市中关村南大街1号友谊宾馆嘉宾楼,香港中环夏悫道12号美国银行中心36楼",www.cmbc.com.cn,万青元,010-68946790,cmbc@cmbc.com.cn,1996/2/7,2000/12/19,"3,016,109万元
            ","9.08元
            ","49.64%
            "
600017,日照港,国有企业,日照港股份有限公司,"Rizhao Port Co.,Ltd.",交通物流,"307,565万元",杜传志,山东,山东省日照市海滨二路,www.rzpcl.com,余慧芳,0633-8388822,yhfang@rzport.com,2002/7/15,2006/10/17,"108,100万元
            ","4.70元
            ","19.58%
            "
600018,上港集团,国有企业,上海国际港务(集团)股份有限公司,"Shanghai International Port (Group) Co.,Ltd.",交通物流,"2,275,518万元",陈戌源,上海,上海市虹口区东大名路358号国际港务大厦,www.portshanghai.com.cn,丁向明,021-55333388,dongmi@portshanghai.com.cn,2005/7/8,2006/10/26,"0万元
            ","3.67元
            ","27.23%
            "
600019,宝钢股份,国有企业,宝山钢铁股份有限公司,"Baoshan Iron & Steel Co.,Ltd.",黑色金属,"1,647,103万元",陈德荣,上海,上海市宝山区富锦路885号宝钢指挥中心,www.baosteel.com,朱可炳,021-26647000,ir@baosteel.com,2000/2/3,2000/12/12,"784,586万元
            ","4.18元
            ","18.66%
            "
600020,中原高速,国有企业,河南中原高速公路股份有限公司,Henan Zhongyuan Expressway Company Limited,交通物流,"224,737万元",金雷,河南,河南省郑州市郑东新区农业东路100号,www.zygs.com,许亮,0371-67717696,zygs600020@163.com,2000/12/28,2003/8/8,"178,080万元
            ","6.36元
            ","15.96%
            "
600021,上海电力,国有企业,上海电力股份有限公司,"Shanghai Electric Power Co.,Ltd.",水电燃气,"213,974万元",王运丹,上海,上海市中山南路268号,www.shanghaipower.com,夏梅兴,021-23108718,sepco@shanghaipower.com,1998/6/4,2003/10/29,"139,200万元
            ","5.80元
            ","18.52%
            "
600022,山东钢铁,国有企业,山东钢铁股份有限公司,Shandong Iron And Steel Company Ltd,黑色金属,"643,630万元",任浩,山东,山东省济南市高新区舜华路2000号舜泰广场4号楼,www.sdsteel.cc,金立山,0531-67606889,sdgt600022@126.com,2000/12/29,2004/6/29,"139,920万元
            ","6.36元
            ","7.66%
            "
600023,浙能电力,国有企业,浙江浙能电力股份有限公司,"Zhejiang Zheneng Electric Power Co.,Ltd.",水电燃气,"1,183,706万元",吴国潮,浙江,杭州市天目山路152号浙能大厦,www.zzepc.com.cn,曹路,0571-87210223,zzep@zjenergy.com.cn,--,--,"--万元
            ","5.53元
            ","13.43%
            "
600026,中海发展,国有相对控股企业,中海发展股份有限公司,China Shipping Development Company Limited,交通物流,"348,141万元",许立荣,上海,"上海市虹口区东大名路670号(上海港国际客运中心5号楼)7楼,香港中环遮打道18号历山大厦20楼",www.cnshippingdev.com,姚巧红,021-65967678,csd@cnshipping.com,1994/5/4,2002/5/23,"157,680万元
            ","1.46元
            ","--%
            "
600027,华电国际,国有企业,华电国际电力股份有限公司,Huadian Power International Corporation Limited,水电燃气,"880,729万元",李庆奎,山东,"北京市西城区宣武门内大街2号,香港铜锣湾勿地臣街1号时代广场2座36楼",www.hdpi.com.cn,周连青,010-83567779,zhoulq@hdpi.com.cn,1994/6/28,2005/2/3,"201,453万元
            ","1.58元
            ","--%
            "
600028,中国石化,国有企业,中国石油化工股份有限公司,China Petroleum & Chemical Corporation,采矿业,"11,828,040万元",傅成玉,北京,"北京市朝阳区朝阳门北大街22号,香港湾仔港湾道1号会展广场办公大楼20楼",www.sinopec.com,黄文生,010-59960028,ir@sinopec.com,2000/2/25,2001/8/8,"0万元
            ","1.59元
            ","--%
            "
600029,南方航空,国有企业,中国南方航空股份有限公司,China Southern Airlines Company Limited,交通物流,"981,757万元",司献民,广东,"广东省广州市机场路278号,香港金钟道95号统一中心9楼B1室",www.csair.com,谢兵,020-86124462,ir@csair.com,1995/3/25,2003/7/25,"--万元
            ","--元
            ","--%
            "
600030,中信证券,国有相对控股企业,中信证券股份有限公司,Citic Securities Company Limited,金融业,"1,101,691万元",王东明,广东,"广东省深圳市福田区中心3路8号中信证券大厦,北京市朝阳区亮马桥路48号中信证券大厦,香港中环添美道1号中信大厦26层",www.cs.ecitic.com,郑京,0755-23835888,ir@citics.com,1995/10/25,2003/1/6,"1,323,749万元
            ","13.30元
            ","15.00%
            "
600031,三一重工,民营相对控股企业,三一重工股份有限公司,"Sany Heavy Industry Co.,Ltd.",专用设备制造,"761,650万元",梁稳根,北京,北京市昌平区北清路8号,www.sanyhi.com,肖友良,010-60738888,xyl@sany.com.cn,1994/11/22,2003/7/3,"93,360万元
            ","15.56元
            ","13.41%
            "
600033,福建高速,国有企业,福建发展高速公路股份有限公司,Fujian Expressway Development Company Limited,交通物流,"274,440万元",黄祥谈,福建,福建省福州市东水路18号福建交通综合大楼26层,www.fjgs.com.cn,何高文,0591-87077366,stock@fjgs.com.cn,1999/6/28,2001/2/9,"133,200万元
            ","6.66元
            ","26.43%
            "
600035,楚天高速,国有企业,湖北楚天高速公路股份有限公司,"Hubei Chutian Expressway Co.,Ltd.",交通物流,"121,115万元",肖跃文,湖北,武汉市洪山区珞瑜路1077号东湖广场宽堂写字楼7-9层,www.hbctgs.com,郭生辉,027-87576667,600035@hbctgs.com,2000/11/22,2004/3/10,"84,000万元
            ","3.00元
            ","16.67%
            "
600036,招商银行,国有相对控股企业,招商银行股份有限公司,"China Merchants Bank Co.,Ltd.",金融业,"2,521,985万元",李建红,广东,"广东省深圳市福田区深南大道7088号,香港夏悫道12号美国银行中心21楼",www.cmbchina.com,许世清,0755-83198888,cmb@cmbchina.com,1987/3/31,2002/4/9,"2,069,100万元
            ","8.55元
            ","0.00%
            "
600037,歌华有线,国有相对控股企业,北京歌华有线电视网络股份有限公司,"Beijing Gehua CATV Network Co.,Ltd.",信息技术,"106,379万元",郭章鹏,北京,北京市东城区青龙胡同1号歌华大厦7层,www.bgctv.com.cn,梁彦军,010-62364114,600037@bgctv.com.cn,1999/9/29,2001/2/8,"124,000万元
            ","15.50元
            ","38.67%
            "
600038,中直股份,国有企业,中航直升机股份有限公司,Avicopter Plc,交运设备,"58,948万元",蔡毅,黑龙江,黑龙江省哈尔滨市平房区友协大街15号,www.hafei.com,顾韶辉,0451-86528350,gsh0808@sina.com,1999/7/30,2000/12/18,"47,100万元
            ","7.85元
            ","42.11%
            "
600039,四川路桥,国有企业,四川路桥建设股份有限公司,"Sichuan Road & Bridge Co.,ltd.",建筑业,"301,973万元",孙云,四川,四川省成都市高新区九兴大道12号,www.scrbc.com.cn,曹川,028-85126085,srbcdsh@163.com,1999/12/28,2003/3/25,"68,700万元
            ","6.87元
            ","14.93%
            "
600048,保利地产,国有相对控股企业,保利房地产(集团)股份有限公司,"Poly Real Estate Group Co.,Ltd.",房地产业,"1,072,975万元",宋广菊,广东,广东省广州市海珠区阅江中路688号保利国际广场北塔30-33层,www.polycn.com,黄海,020-89898833,stock@polycn.com,2002/8/31,2006/7/31,"209,250万元
            ","13.95元
            ","18.85%
            "
600050,中国联通,国有企业,中国联合网络通信股份有限公司,China United Network Communications Limited,信息技术,"2,119,660万元",常小兵,上海,上海市长宁区长宁路1033号29楼,www.chinaunicom-a.com,李超,021-52732228,chaoli@chinaunicom-a.com,2001/12/31,2002/10/9,"1,150,000万元
            ","2.30元
            ","20.23%
            "
600051,宁波联合,民营相对控股企业,宁波联合集团股份有限公司,"Ningbo United Group Co.,Ltd.",批发零售,"31,088万元",李水荣,浙江,宁波开发区东海路1号联合大厦,www.nug.com.cn,董庆慈,0574-86221609,dqc@nug.com.cn,1994/3/31,1997/4/10,"35,340万元
            ","11.78元
            ","13.00%
            "
600052,浙江广厦,民营相对控股企业,浙江广厦股份有限公司,"Zhejiang Guangsha Co.,Ltd.",房地产业,"87,179万元",张汉文,浙江,浙江省杭州市西湖区莫干山路231号锐明大厦14层,www.gsgf.com,包宇芬,0571-87974176,stock600052@gsgf.com,1993/7/13,1997/4/15,"19,950万元
            ","5.70元
            ","15.00%
            "
600053,中江地产,国有企业,江西中江地产股份有限公司,"Jiangxi Zhong Jiang Real Estate Co.,ltd.",房地产业,"43,354万元",钟虹光,江西,江西省南昌市东湖区沿江北大道1379号紫金城A栋写字楼,www.jzjt.com,王芳,0791-88666003,zjre600053@126.com,1997/4/14,1997/4/18,"25,200万元
            ","5.60元
            ","14.00%
            "
600054,黄山旅游,国有相对控股企业,黄山旅游发展股份有限公司,"Huangshan Tourism Development Co.,Ltd.",旅游环境,"47,135万元",黄林沐,安徽,安徽省黄山市黄山风景区汤泉,www.huangshan.com.cn,黄慧敏,0559-5580567,hshhm666@126.com,1996/11/18,1996/11/22,"--万元
            ","--元
            ","--%
            "
600055,华润万东,国有企业,华润万东医疗装备股份有限公司,"China Resources Wandong Medical Equipment Co.,Ltd.",专用设备制造,"21,645万元",陈刚,北京,北京市朝阳区酒仙桥东路9号院3号楼,www.wandong.com.cn,张丹石,010-84569688,wdyL055@263.net.cn,1994/6/30,1997/5/19,"12,810万元
            ","8.54元
            ","14.00%
            "
600056,中国医药,国有企业,中国医药健康产业股份有限公司,"China Meheco Co.,Ltd.",医药制造,"101,251万元",张本智,北京,北京市东城区光明中街18号,www.meheco.cn,袁精华,010-67164267,meheco600056@sina.com,1997/5/8,1997/5/15,"21,060万元
            ","7.02元
            ","15.00%
            "
600057,象屿股份,国有企业,厦门象屿股份有限公司,"Xiamen Xiangyu Co.,ltd.",租赁和商务,"103,625万元",王龙雏,福建,福建省厦门现代物流园区象屿路99号厦门国际航运中心E栋9层,www.xiangyu.cn,高晨霞,0592-6516003,stock@xiangyu.cn,1997/5/23,1997/6/4,"17,720万元
            ","4.43元
            ","14.00%
            "
600058,五矿发展,国有企业,五矿发展股份有限公司,"Minmetals Development Co.,Ltd.",批发零售,"107,191万元",姚子平,北京,北京市海淀区三里河路5号B座,www.minlist.com.cn,王宏利,010-68494205,wanghl@minmetals.com,1997/5/21,1997/5/28,"63,900万元
            ","8.52元
            ","15.00%
            "
600059,古越龙山,国有相对控股企业,浙江古越龙山绍兴酒股份有限公司,"Zhejiang Guyuelongshan Shaoxing Wine Co.,Ltd.",茶酒饮料,"80,852万元",傅建伟,浙江,浙江省绍兴市北海桥,www.shaoxingwine.com.cn,周娟英,0575-85158435,zjy@shaoxingwine.com.cn,1997/5/8,1997/5/16,"30,940万元
            ","8.84元
            ","13.60%
            "
600060,海信电器,国有相对控股企业,青岛海信电器股份有限公司,"Hisense Electric Co.,Ltd.",通信设备,"130,848万元",于淑珉,山东,青岛市经济技术开发区前湾港路218号,www.hisense.com,江海旺,0532-83889556,zqb@hisense.com,1997/4/17,1997/4/22,"43,960万元
            ","6.28元
            ","14.95%
            "
600061,中纺投资,国有相对控股企业,中纺投资发展股份有限公司,"Sinotex Investment & Development Co.,Ltd.",纺织业,"42,908万元",张嵩林,上海,上海市长宁区延安西路1228号嘉利大厦33层,www.sinotex-ctrc.com.cn,沈强,021-62818687,600061@sinotex-ctrc.com.cn,1997/5/13,1997/5/19,"18,600万元
            ","6.20元
            ","15.00%
            "
600062,华润双鹤,国有企业,华润双鹤药业股份有限公司,"China Resources Double-crane Pharmaceutical Co.,Ltd.",医药制造,"57,170万元",王春城,北京,北京市朝阳区望京利泽东二路1号,www.dcpc.com,范彦喜,010-64398099,mss@dcpc.com,1997/5/16,1997/5/22,"31,443万元
            ","6.69元
            ","14.00%
            "
600063,皖维高新,国有相对控股企业,安徽皖维高新材料股份有限公司,"Anhui Wanwei Updated High-tech Material Industry Co.,ltd.",化纤制造,"149,785万元",吴福胜,安徽,安徽省巢湖市皖维路56号,www.wwgf.com.cn,吴尚义,0551-82189280,wusy@wwgf.com.cn,1997/5/23,1997/5/28,"30,750万元
            ","6.15元
            ","15.00%
            "
600064,南京高科,国有相对控股企业,南京高科股份有限公司,Nanjing Gaoke Company Limited,房地产业,"51,622万元",徐益民,江苏,南京经济技术开发区新港大道129号,www.600064.com,谢建晖,025-85800728,600064@600064.com,1992/8/8,1997/5/6,"39,200万元
            ","7.84元
            ","14.00%
            "
600066,宇通客车,民营相对控股企业,郑州宇通客车股份有限公司,"Zhengzhou Yutong Bus Co.,ltd.",汽车制造,"147,733万元",汤玉祥,河南,郑州市管城区宇通路宇通工业园,www.yutong.com,于莉,0371-66718281,sbd@yutong.com,1993/2/28,1997/5/8,"34,125万元
            ","9.75元
            ","15.00%
            "
600067,冠城大通,民营相对控股企业,冠城大通股份有限公司,"Citychamp Dartong Co.,Ltd.",房地产业,"119,334万元",韩国龙,福建,福建省福州市五一中路32号元洪大厦26层,www.gcdt.net,肖林寿,0591-83350026,600067@gcdt.net,1988/4/3,1997/5/8,"0万元
            ","100.00元
            ","0.00%
            "
600068,葛洲坝,国有相对控股企业,中国葛洲坝集团股份有限公司,China Gezhouba Group Company Limited,建筑业,"460,478万元",聂凯,湖北,湖北省武汉市硚口区解放大道558号葛洲坝大厦,www.cggc.cn,彭立权,027-59270353,gzb@cggc.cn,1997/5/21,1997/5/26,"114,000万元
            ","6.00元
            ","14.20%
            "
600069,银鸽投资,国有相对控股企业,河南银鸽实业投资股份有限公司,"Henan Yinge Industrial Investment Co.,Ltd.",造纸,"82,537万元",贾粮钢,河南,河南省漯河市人民东路与东环路交叉口银鸽科技研发大厦,www.yinge.com.cn,谭洪涛,0395-5615539,Lhyg5907@163.com,1997/1/13,1997/4/30,"18,480万元
            ","4.62元
            ","14.00%
            "
600070,浙江富润,民营企业,浙江富润股份有限公司,"Zhejiang Furun Co.,Ltd.",纺织业,"27,432万元",赵林中,浙江,浙江省诸暨市陶朱南路12号,www.furun.net,卢伯军,0575-87015763,frdjtx@163.com,1994/5/19,1997/6/4,"7,540万元
            ","3.77元
            ","13.50%
            "
600071,凤凰光学,国有相对控股企业,凤凰光学股份有限公司,Phenix Optical Company Limited,仪器仪表,"23,747万元",罗小勇,江西,江西省上饶市凤凰西大道197号,www.phenixoptics.com.cn,朱群峰,0793-8259523,qunfengz@phenixoptics.com.cn,1997/5/23,1997/5/28,"12,320万元
            ","5.60元
            ","13.90%
            "
600072,*ST钢构,国有相对控股企业,中船钢构工程股份有限公司,"CSSC Steel Structure Engineering Co.,Ltd.",交运设备,"47,843万元",高康,上海,上海市崇明县长兴岛长兴江南大道988号钢构工程公司办公室,www.jnhi.com,陈慧,021-66990372,mail@jnhi.com,1997/5/28,1997/6/3,"32,220万元
            ","5.37元
            ","15.00%
            "
600073,上海梅林,国有相对控股企业,上海梅林正广和股份有限公司,"Shanghai Maling Aquarius Co.,Ltd.",食品制造,"93,773万元",周海鸣,上海,上海恒丰路601号(邮电大厦),www.shanghaimaling.com,虞晓芳,021-22257017,yuxf@shanghaimaling.com,1997/6/27,1997/7/4,"40,000万元
            ","4.00元
            ","18.00%
            "
600074,中达股份,民营企业,江苏中达新材料集团股份有限公司,"Jiangsu Zhongda New Material Group Co.,Ltd.",橡胶塑料,"89,598万元",童爱平,江苏,江苏省江阴市滨江西路589号,www.jszdzm.com,林硕奇,0510-86686352,zd600074@126.com,1997/6/18,1997/6/23,"19,890万元
            ","6.63元
            ","15.00%
            "
600075,*ST新业,国有相对控股企业,新疆天业股份有限公司,"Xinjiang Tianye Co.,Ltd.",化学制品,"43,859万元",吴彬,新疆,新疆石河子市经济技术开发区北三东路36号,www.xj-tianye.com,李刚,0993-2623109,ygdq@sohu.com,1997/6/9,1997/6/17,"17,631万元
            ","6.53元
            ","14.50%
            "
600076,青鸟华光,国有相对控股企业,潍坊北大青鸟华光科技股份有限公司,"Weifang Beida Jadebird Huaguang Technology Co.,ltd.",通信设备,"36,554万元",李明春,山东,山东省潍坊市高新技术产业开发区北宫东街6号,www.hg.com.cn,刘世祯,0536-2991601,liusz@hg.com.cn,1993/9/1,1997/5/26,"28,000万元
            ","5.60元
            ","14.00%
            "
600077,宋都股份,民营相对控股企业,宋都基业投资股份有限公司,"Sundy Land Investment Co.,ltd.",房地产业,"134,012万元",俞建午,浙江,浙江省杭州市富春路789号宋都大厦,www.songdu.com,龚睿,0571-86759621,600077@songdu.com,1993/12/28,1997/5/20,"5,294万元
            ","5.18元
            ","14.00%
            "
600078,澄星股份,民营企业,江苏澄星磷化工股份有限公司,"Jiangsu Chengxing Phosph-Chemicals Co.,Ltd.",化学制品,"66,257万元",李兴,江苏,江苏省江阴市梅园大街618号,--,夏正华,0510-80622329,cx@phosphatechina.com,1994/6/28,1997/6/27,"20,300万元
            ","5.80元
            ","14.50%
            "
600079,人福医药,民营相对控股企业,人福医药集团股份公司,"Humanwell Healthcare (group) Co.,Ltd.",医药制造,"52,878万元",王学海,湖北,湖北省武汉市东湖高新区高新大道666号,www.humanwell.com.cn,李前伦,027-87597232,renfu.pr@renfu.com.cn,1993/3/30,1997/6/6,"10,440万元
            ","5.22元
            ","15.00%
            "
600080,金花股份,民营相对控股企业,金花企业(集团)股份有限公司,Ginwa Enterprise (Group) Inc.,医药制造,"30,530万元",吴一坚,陕西,西安市高新技术产业开发区科技四路202号,www.ginwa.com.cn,孙明,029-88336635,irm@ginwa.com.cn,1996/2/14,1997/6/12,"18,480万元
            ","6.16元
            ","14.00%
            "
600081,东风科技,民营企业,东风电子科技股份有限公司,"Dong Feng Electronic And Technology Co.,Ltd.",汽车制造,"31,356万元",高大林,上海,上海中山北路2000号22楼,www.detc.com.cn,天涯,021-62033003-52,tianya@detc.com.cn,1997/6/28,1997/7/3,"9,438万元
            ","7.55元
            ","16.50%
            "
600082,海泰发展,国有相对控股企业,天津海泰科技发展股份有限公司,"TianJin Hi-Tech Development Co.,Ltd.",综合,"64,612万元",宋克新,天津,天津新技术产业园区华苑产业区海泰西路18号,www.hitech-develop.com,李刚,022-85689891,ligang@hitech-develop.com,1992/11/28,1997/6/20,"15,440万元
            ","5.18元
            ","14.80%
            "
600083,博信股份,民营企业,广东博信投资控股股份有限公司,"Guangdong Boxin Investing & Holdings Co.,Ltd.",通信设备,"23,000万元",朱凤廉,广东,广东省清远市新城方正二街1号自来水大厦7楼,www.600083.com,禤振生,0763-3663333,gdbx600083@163.com,1993/5/8,1997/6/6,"42,350万元
            ","6.05元
            ","15.00%
            "
600084,中葡股份,国有相对控股企业,中信国安葡萄酒业股份有限公司,"Citic Guoan Wine Co.,ltd.",茶酒饮料,"112,373万元",高智明,新疆,新疆乌鲁木齐市红山路39号,www.guoanwine.com,张荣亮,0991-8881238,zhangrongliang@guoanzp.com,1997/7/7,1997/7/11,"23,520万元
            ","7.84元
            ","15.50%
            "
600085,同仁堂,国有企业,北京同仁堂股份有限公司,"Beijing Tong Ren Tang Co.,ltd.",医药制造,"131,123万元",梅群,北京,"北京市东城区东兴隆街52号,北京市崇文门外大街42号",www.tongrentang.com,贾泽涛,010-67020018,jiazetao@tongrentang.com,1997/6/18,1997/6/25,"35,400万元
            ","7.08元
            ","15.00%
            "
600086,东方金钰,民营相对控股企业,东方金钰股份有限公司,"Eastern Gold Jade Co.,Ltd.",其他制造业,"35,228万元",赵兴龙,湖北,深圳市罗湖区贝丽北路水贝工业区2栋东方金钰珠宝大厦3楼,www.goldjade.cn,顾峰,0755-25266298,dfjy600086@sina.cn,1993/7/13,1997/6/6,"18,120万元
            ","6.04元
            ","14.98%
            "
600088,中视传媒,国有企业,中视传媒股份有限公司,"China Television Media,Ltd.",出版传媒,"33,142万元",赵刚,上海,"上海市浦东新区福山路450号新天国际大厦17层A座,北京市朝阳区西大望路1号温特莱中心B座22层",www.ctv-media.com.cn,贺芳,021-68765168,irmanager@ctv-media.com.cn,1997/6/7,1997/6/16,"39,750万元
            ","7.95元
            ","15.00%
            "
600089,特变电工,民营相对控股企业,特变电工股份有限公司,"TBEA Co.,Ltd.",电器制造,"324,013万元",张新,新疆,新疆维吾尔自治区昌吉市北京南路189号,www.tbea.com.cn,郭俊香,0994-6508000,gjxtbea@tbea.com.cn,1993/2/26,1997/6/18,"15,570万元
            ","5.19元
            ","14.50%
            "
600090,啤酒花,中外合资企业,新疆啤酒花股份有限公司,"Xin Jiang Hops Co.,ltd.",茶酒饮料,"36,792万元",黎启基,新疆,新疆乌鲁木齐市经济技术开发区上海路130号,www.xjhops.com,唐伟梅,0991-3687305,tangweimei@xjhops.com,1993/4/26,1997/6/16,"12,150万元
            ","4.05元
            ","15.00%
            "
600091,ST明科,民营相对控股企业,包头明天科技股份有限公司,"Baotou Tomorrow Technology Co.,Ltd.",化学制品,"33,653万元",李国春,内蒙古,包头稀土高新技术产业开发区曙光路22号,www.tomotech.com,关明,0472-2207068,guanming@tomotech.com,1997/3/6,1997/7/4,"19,536万元
            ","5.28元
            ","16.00%
            "
600093,禾嘉股份,民营企业,四川禾嘉股份有限公司,"Sichuan Hejia Co.,Ltd.",汽车制造,"32,245万元",冷天辉,四川,四川省成都市高新技术产业开发区九兴大道3号,www.hejia.com,徐德智,028-85155498,dmb@hejia.com,1997/6/23,1997/6/26,"24,150万元
            ","8.05元
            ","16.00%
            "
600094,大名城,中外合资企业,上海大名城企业股份有限公司,Greattown Holdings Ltd.,房地产业,"201,156万元",俞培俤,上海,上海市闵行区红松东路1116号上海虹桥元一大厦5楼,www.greattown.cn,张燕琦,021-62478900,zhangyanqi@greattown.cn,1996/7/18,1996/7/26,"--万元
            ","--元
            ","--%
            "
600095,哈高科,民营企业,哈尔滨高科技(集团)股份有限公司,"Harbin High-Tech(Group) Co.,ltd.",粮食加工,"36,126万元",杨登瑞,黑龙江,哈尔滨开发区迎宾路集中区天平路2号,www.hgk-group.com,马昆,0451-84348141,mkn@hgk-group.com,1993/12/28,1997/7/8,"28,900万元
            ","5.78元
            ","16.50%
            "
600096,云天化,国有企业,云南云天化股份有限公司,"Yunnan Yuntianhua Co.,Ltd.",化学制品,"112,908万元",张文学,云南,云南省昆明市滇池路1417号,www.yyth.com.cn,钟德红,0871-64327127,--,1997/7/2,1997/7/9,"62,100万元
            ","6.21元
            ","16.34%
            "
600097,开创国际,国有相对控股企业,上海开创国际海洋资源股份有限公司,"Shanghai Kaichuang Marine International Co.,ltd.",农林牧渔,"20,260万元",汤期庆,上海,上海市杨浦区安浦路661号滨江国际广场3号楼3层,www.skmic.sh.cn,汪涛,021-65686875,ir@skmic.sh.cn,1997/6/10,1997/6/19,"23,135万元
            ","6.61元
            ","14.50%
            "
600098,广州发展,国有企业,广州发展集团股份有限公司,Guangzhou Development Group Incorporated,水电燃气,"272,620万元",伍竹林,广东,广州市天河区临江大道3号31-32楼,www.gdih.cn,张雪球,020-37850128,600098@gdgc.com.cn,1997/7/11,1997/7/18,"78,700万元
            ","7.87元
            ","16.30%
            "
600099,林海股份,国有相对控股企业,林海股份有限公司,"Linhai Co.,Ltd.",交运设备,"21,912万元",刘群,江苏,江苏省泰州市迎春西路199号,www.linhai.cn,袁瑞明,0523-86992016,18052610333@189.cn,1997/6/28,1997/7/4,"24,360万元
            ","6.09元
            ","16.00%
            "
600100,同方股份,国有相对控股企业,同方股份有限公司,"Tsinghua Tongfang Co.,Ltd.",通信设备,"219,788万元",陆致成,北京,北京海淀区清华同方科技大厦A座29层,www.thtf.com.cn,孙岷,010-82399888,600100@thtf.com.cn,1997/6/25,1997/6/27,"34,776万元
            ","8.28元
            ","15.99%
            "
600101,明星电力,国有相对控股企业,四川明星电力股份有限公司,"Sichuan Mingxing Electric Power Co.,Ltd.",水电燃气,"32,418万元",秦怀平,四川,四川省遂宁市开发区明月路88号,www.mxdl.com.cn,唐敏,0825-2210081,tangmin_law@vip.126.com,1988/12/1,1997/6/27,"0万元
            ","1.00元
            ","0.00%
            "
